lesson_id,lesson_no,title,filename,phase,url
L001,1,ई-कॉमर्स क्या है और लोकल प्रोडक्ट ऑनलाइन क्यों दिखना चाहिए,lesson-001-ecommerce-kya-hai.html,व्हाट्सऐप कैटलॉग चैलेंज,https://acslearn.com/courses/acs-ai-ecommerce-product-listing/hi/lesson-001-ecommerce-kya-hai.html
L002,2,मार्केटप्लेस और लोकल दुकान में अंतर,lesson-002-marketplace-vs-local-shop.html,व्हाट्सऐप कैटलॉग चैलेंज,https://acslearn.com/courses/acs-ai-ecommerce-product-listing/hi/lesson-002-marketplace-vs-local-shop.html
L003,3,अपने इलाके के ऑनलाइन योग्य प्रोडक्ट पहचानना,lesson-003-local-product-online.html,व्हाट्सऐप कैटलॉग चैलेंज,https://acslearn.com/courses/acs-ai-ecommerce-product-listing/hi/lesson-003-local-product-online.html
L004,4,"ग्रीन, येलो और रेड प्रोडक्ट सुरक्षा श्रेणी",lesson-004-product-safety-category.html,व्हाट्सऐप कैटलॉग चैलेंज,https://acslearn.com/courses/acs-ai-ecommerce-product-listing/hi/lesson-004-product-safety-category.html
L005,5,डेमो-लाइव और रियल-लाइव काम की सुरक्षा,lesson-005-demo-live-real-live.html,व्हाट्सऐप कैटलॉग चैलेंज,https://acslearn.com/courses/acs-ai-ecommerce-product-listing/hi/lesson-005-demo-live-real-live.html
L006,6,दुकानदार से पहली बातचीत की तैयारी,lesson-006-seller-communication.html,व्हाट्सऐप कैटलॉग चैलेंज,https://acslearn.com/courses/acs-ai-ecommerce-product-listing/hi/lesson-006-seller-communication.html
L007,7,प्रोडक्ट जानकारी फॉर्म भरना,lesson-007-product-information-form.html,व्हाट्सऐप कैटलॉग चैलेंज,https://acslearn.com/courses/acs-ai-ecommerce-product-listing/hi/lesson-007-product-information-form.html
L008,8,दुकानदार सहमति फॉर्म समझना,lesson-008-seller-consent-form.html,व्हाट्सऐप कैटलॉग चैलेंज,https://acslearn.com/courses/acs-ai-ecommerce-product-listing/hi/lesson-008-seller-consent-form.html
L009,9,दस सुरक्षित प्रोडक्ट चुनना,lesson-009-safe-product-selection.html,व्हाट्सऐप कैटलॉग चैलेंज,https://acslearn.com/courses/acs-ai-ecommerce-product-listing/hi/lesson-009-safe-product-selection.html
L010,10,रिवीजन १: लोकल प्रोडक्ट और सुरक्षा जांच,lesson-010-review-local-product-safety.html,व्हाट्सऐप कैटलॉग चैलेंज,https://acslearn.com/courses/acs-ai-ecommerce-product-listing/hi/lesson-010-review-local-product-safety.html
L011,11,मोबाइल से प्रोडक्ट फोटो की तैयारी,lesson-011-mobile-product-photography.html,व्हाट्सऐप कैटलॉग चैलेंज,https://acslearn.com/courses/acs-ai-ecommerce-product-listing/hi/lesson-011-mobile-product-photography.html
